[1]陈丹丹,徐帆洪,高丹. 表达NY-ESO-1重组耻垢分枝杆菌的制备及应用[P]. 上海：CN102839186A,2012-12-26.

[2]张秀清,李英睿,杨玲,蒋慧,管彦芳,易鑫,胡学达. 用于确定人体具有异常状态的系统和方法[P]. 广东：CN102839211A,2012-12-26.

[3]T·阿布拉姆斯,P·A·巴尔桑蒂,Y·丁,D·达尔,W·韩,胡成,潘越. 作为KSP抑制剂的三唑化合物[P]. 瑞士：CN102844307A,2012-12-26.

[4]本间实咲,宫崎彻,大黑裕哉,仓泽修. 杂环化合物[P]. 日本：CN102844320A,2012-12-26.

[5]沈竞康,李佳,方光华,苏明波,熊兵,马兰萍,周宇波,王昕,薛梦竹. 四氢吡啶并噻唑类化合物、其制备方法、包含该化合物的药物组合物及其用途[P]. 上海：CN102838625A,2012-12-26.

[6]李彬. 一种癌胚抗原单抗及包含该抗体的芯片以及应用[P]. 河北：CN102838676A,2012-12-26.

[7]吴艳峰,万涛,曹雪涛. Her2-neu抗原阳性肿瘤治疗性疫苗的制备及应用[P]. 上海：CN102838679A,2012-12-26.

[8]赵晨阳,陈星,杜宇平,杨金波,王勤. Brevilin A作为JAK-STATs信号靶向抑制剂的应用[P]. 甘肃：CN102836151A,2012-12-26.

[9]阮俞敏子,张荔. 一种以肺癌为主的早期癌症联合普查蛋白芯片[P]. 安徽：CN102841201A,2012-12-26.

[10]马诺·真田广之,崔英李,苏达学. 对ALK抑制剂具有先抗性或后抗性癌症的识别,判断和治疗[P]. 日本：CN102844664A,2012-12-26.

[11]阿卜杜拉·森蒂斯,道格拉斯·B·雅各比. 氯毒素多肽和结合物及其应用[P]. 美国：CN102844044A,2012-12-26.

[12]M·托尔戈夫,R·K·莫里森,A·雅各波维茨,J·古达斯,Z·安. 结合于161P2F10B蛋白的抗体药物偶联物(ADC)[P]. 美国：CN102844045A,2012-12-26.

[13]M·辛格,D·斯基宾斯基,S·恰内蒂,F·多罗,S·简恩. 含TLR活性调节剂的免疫原性组合物[P]. 瑞士：CN102844047A,2012-12-26.

[14]金坚,马鑫,陈蕴,蔡燕飞,何冬旭. 阻断型抗体T5E3在逆转肿瘤多药耐药中的应用[P]. 江苏：CN102836430A,2012-12-26.

[15]何为无,马东辉,袁克湖,陈坚,王超,陈思,袁丽,龚世妍,周春. 抗肿瘤蛋白P53单克隆抗体及其用途[P]. 江苏：CN102827278A,2012-12-19.

[16]W·施韦德,U·克拉尔,C·穆勒尔,A·罗特杰瑞,W·博恩,C·休威. 孕酮受体拮抗剂[P]. 德国：CN102834405A,2012-12-19.

[17]栾士勋. 一种抗癌药物[P]. 河北：CN102824334A,2012-12-19.

[18]高秀梅,刘二伟,王虹,樊官伟,段卫华,刘志东,张伯礼. 包含杜仲和续断的组合物及其治疗骨质疏松症的用途[P]. 天津：CN102824400A,2012-12-19.

[19]M·巴卡,T·迪斯泰德,J·斯维斯. 基于纤连蛋白III型结构域的多聚体支架[P]. 美国：CN102834114A,2012-12-19.

[20]W·陈,M·陈,H·K·莱尔利,L·S·巴克,R·穆克,T·长田,M·A·莫斯. WNT/卷曲蛋白相关疾病的治疗[P]. 美国：CN102834116A,2012-12-19.

[21]黄勇平,谢磊,王倩,刘宁,苗雪霞,严兴,周志华. 一种新型木聚糖酶及其编码基因和应用[P]. 上海：CN102816749A,2012-12-12.

[22]丁克,常少华,徐石林,张连文,涂正超,丁健,耿美玉,陈奕. 嘧啶并嘧啶酮类化合物及其药用组合物和应用[P]. 广东：CN102816162A,2012-12-12.

[23]L.毛,X.王,X.徐,L.赵,J.刘. 杂环化合物和作为抗癌剂的用途[P]. 美国：CN102822173A,2012-12-12.

[24]斯科特·C·查普尔,大卫·S·卡西毕尔. 哺乳动物的类固醇代谢物[P]. 美国：CN102822190A,2012-12-12.

[25]B.伯森梅尔,N.迪默迪斯,T.弗里斯,G.乔治斯,I.科尔姆,H-W.克雷尔,V.利夫克,E.莫斯纳. 抗HER3抗体及其用途[P]. 瑞士：CN102822201A,2012-12-12.

[26]P·A·马卡里,陈苏虾,B·J·汉森. 用于制备T细胞受体样单克隆抗体的方法及其用途[P]. 新加坡：CN102812043A,2012-12-05.

[27]柏旭,闫兵,项金宝,张秋,裴亚中. 新型吡啶并硫氮七元环衍生物作为抗肿瘤药物、及其制备方法和应用[P]. 吉林：CN102807574A,2012-12-05.

