[1]孙新,徐沁,梅艳巧,景丹丹. 遗传性乳腺癌与卵巢癌BRCA1/2基因热点突变位点检测试剂盒[P]. 江苏：CN107523609A,2017-12-29.

[2]尚小云,曾祺森,张轶,雷菁,刁波. 基于核酸质谱技术检测乳腺癌早期诊断相关基因的方法[P]. 湖北：CN107523646A,2017-12-29.

[3]张井岩,罗超,张放为,郭利娟. 石墨烯量子点在制备抑制细胞多药耐药基因的药物中的应用[P]. 上海：CN107519488A,2017-12-29.

[4]王海河,刘斌,关文,杨蜀岚. SH3BGRL及其mRNA在制备乳腺癌的诊断试剂盒或治疗药物中的应用[P]. 广东：CN107525932A,2017-12-29.

[5]马飞,徐兵河,王文娜,管彦芳,陈文挺,王玉奇. 利用TRBV家族成员预测曲妥珠单抗新辅助治疗乳腺癌患者疗效试剂盒及其应用[P]. 北京：CN107502671A,2017-12-22.

[6]马飞,徐兵河,钱海利,陈洪岩,李俏,王文娜. 一种检测外周血TCR可变区编码基因的液体活检试剂盒及其应用[P]. 北京：CN107488737A,2017-12-19.

[7]徐兵河,马飞,樊英,王海娟,王文娜,易宗毕. 一种预测乳腺癌对曲妥珠单抗联合化疗治疗敏感性的生物标志物[P]. 北京：CN107488738A,2017-12-19.

[8]刘明录,冯建海,姜夕锋,马洪华,强邦明,金海锋,万磊,韩庆梅,刘敏,韩国英,卢永灿. 一种携带分子开关的抗HER2嵌合抗原受体修饰的免疫细胞及其应用[P]. 山东：CN107488636A,2017-12-19.

[9]谢小明,唐海林,陈博,韦尉东,谢新华,刘鹏,叶锋,杨露,黄晓嘉,宋彩露. 一种RNAcircEPSTI1及其在三阴乳腺癌上的应用[P]. 广东：CN107475258A,2017-12-15.

[10]何劲松,韦伟,陈伟财,刘晓岭,罗雪莹,李锋,刘宝儿. 一种评估乳腺癌风险的突变基因及其检测试剂盒[P]. 广东：CN107475367A,2017-12-15.

[11]徐兵河,马飞,王文娜,陈文挺,王玉奇,管彦芳. 外周血T细胞TRBV3#1基因检测试剂盒及其在乳腺癌疗效预测中的应用[P]. 北京：CN107475439A,2017-12-15.

[12]马飞,徐兵河,瞿望,钱海利,王小兵. 一种血浆外泌体生物标志物在乳腺癌诊断中的应用[P]. 北京：CN107475440A,2017-12-15.

[13]徐兵河,马飞,瞿望,翟晓宇,李春晓. 一种预测乳腺癌患者对AT方案新辅助化疗的反应性的生物标记物[P]. 北京：CN107475441A,2017-12-15.

[14]许承斌. 乳腺癌预警系统及预警方法[P]. 广东：CN107456209A,2017-12-12.

[15]赵健,黄思佳,金春阳,刘慧芳,张伯彦,李锋. 一种抗HER2的抗体、其药物组合物及用途[P]. 北京：CN107446045A,2017-12-08.

[16]F·拉特克,R·利哈尔,V·莱因穆勒,祝介平. Notch信号通路抑制剂及其在癌症治疗中的用途[P]. 瑞士：CN107434779A,2017-12-05.

[17]安德里亚·马尔,托尼·温斯切尼克,奥利弗·施尔,延斯·弗里切,哈普瑞特·辛格,科莱特·宋. 用于肾细胞癌(RCC)免疫治疗的新型肽和肽组合物和支架[P]. 德国：CN107438619A,2017-12-05.

[18]郭培宣,舒丹,束弋,李晖,法尔兹因·哈克. 用于治疗乳腺癌的miRNA[P]. 美国：CN107429251A,2017-12-01.

[19]朱兴奋,周砺寒,邹瑞阳. 通过检测微小RNA(miRNA)的表达水平来确定患乳腺癌的风险的方法[P]. 新加坡：CN107429295A,2017-12-01.

[20]托尼·温斯切尼克,延斯·弗里切,哈普瑞特·辛格,安德里亚·马尔,马丁纳·奥特,克劳迪娅·瓦格纳,奥利弗·施尔. 用于胰腺癌和其他癌症免疫治疗的新型肽和肽组合物[P]. 德国：CN107428810A,2017-12-01.

[21]D.M.戈登伯格,H.J.汉森,C-H.张. 循环TROP#2阳性癌细胞的分离、检测、诊断和/或鉴定[P]. 美国：CN107428837A,2017-12-01.

[22]F·梅茨格,H·拉特尼. 用于治疗癌症的化合物[P]. 瑞士：CN107428729A,2017-12-01.

[23]陈铃津,游正博,王雅惠,徐铨龙,陈怡彰,骆映融. 通过抑制TMCC3以抑制癌症的方法[P]. 台湾：CN107430125A,2017-12-01.

[24]D.F.D.布罗吉尼. 包含N#(3,5#二甲氧基苯基)#N’#(1#甲基乙基)#N#[3#(1#甲基#1H#吡唑#4#基)喹喔啉#6#基]乙烷#1,2#二胺的药物组合物[P]. 英国：CN107427511A,2017-12-01.

[25]N.S.格雷,T.张,N.P.奎亚蒂科夫斯基. 细胞周期蛋白依赖性激酶的抑制剂[P]. 美国：CN107427521A,2017-12-01.

[26]白淳明. 用于测定乳腺癌预后以及是否使用化疗的装置和方法[P]. 韩国：CN107430133A,2017-12-01.

[27]孟颂东,郑华国,李杨. 蛋白PACRGL及其多肽在制备治疗与预防癌症的药物中的应用[P]. 北京：CN107412727A,2017-12-01.

[28]R·珀蒂,麦可·F·宾矽欧塔. 包含肽微基因表达系统的基于李斯特菌的组合物及其使用方法[P]. 美国：CN107406822A,2017-11-28.

[29]周光朋,马竣,韩晓亮,王建铭. 一种用于乳腺癌筛查的组合物及其应用[P]. 北京：CN107400704A,2017-11-28.

[30]陈立国,邹伟权,张亚丽,李庆祥,母润红,王涛,苏焱. 癌基因BRCA1和BRCA2的快速诊断试剂盒[P]. 广东：CN107400731A,2017-11-28.

[31]A.庞博,P.爱德华兹,M.尼科德米,A.夏尔多内,R.比格里. 基因组结构绘图[P]. 德国：CN107406873A,2017-11-28.

[32]芭芭拉·伯温克尔,杨荣西,安德烈亚斯·施内魏斯. 用于检测癌症的生物标志物组[P]. 德国：CN107406880A,2017-11-28.

[33]N.S.格雷,P.珍妮,崔焕根,章在奉. 作为EGFR抑制剂的新的嘧啶和治疗病症的方法[P]. 美国：CN107406442A,2017-11-28.

[34]E·格拉,S·阿尔博蒂. 人源化的抗TROP#2单克隆抗体及其应用[P]. 意大利：CN107406508A,2017-11-28.

[35]增本佳那子,久保卓也,岩永茂树,冈田昌也. 细胞分析装置、细胞分析装置的控制方法及程序[P]. 日本：CN107407674A,2017-11-28.

[36]M·莫洛伊,Y·郭,J·罗斯坦,M·罗森茨威格. 鉴定VSIG8作为推定VISTA受体及其用以产生VISTA/VSIG8激动剂和拮抗剂的用途[P]. 美国：CN107405398A,2017-11-28.

[37]韦伟,何劲松,李明,刘晓岭. 一组与乳腺癌相关的突变基因及其辅助诊断试剂盒[P]. 广东：CN107385026A,2017-11-24.

[38]徐晓晶,赵莹,贺华,姚琴琴,陆凌佳. 检测BRCA1基因、BRCA2基因、PALB2基因突变位点的试剂盒和方法[P]. 上海：CN107365864A,2017-11-21.

[39]安娜·戴利,琳达赛·卢瑟福,V·苏兹安妮·克林姆伯格,M·帕特丽夏·贝克曼. 检测癌症的方法和试剂盒[P]. 美国：CN107367615A,2017-11-21.

[40]林尧,王清水. TCP1蛋白在制备乳腺癌术后预后评估试剂盒中的应用、乳腺癌预后评估试剂盒及方法[P]. 福建：CN107367619A,2017-11-21.

[41]孙佳佳. CA15#3基因mRNA核酸检测试剂盒(PCR#荧光探针法)[P]. 安徽：CN107354214A,2017-11-17.

[42]石立立,杨林,张佩琢. microRNA探针一步法实时荧光定量PCR检测方法[P]. 江苏：CN107354227A,2017-11-17.

[43]葛猛,余倩,王宏伟,赵娜. 一种检测人类ESR1基因突变的试剂盒[P]. 北京：CN107354195A,2017-11-17.

[44]章丹丹,黄爽,张卫东,田新慧. 一种中药组合物及其用途[P]. 上海：CN107349270A,2017-11-17.

[45]孙佳佳. 人乳球蛋白mRNA核酸检测试剂盒(PCR#荧光探针法)[P]. 安徽：CN107338290A,2017-11-10.

[46]刘泓,丁立伟,贾绍林,江岩. 基于评分模型对乳腺癌进行风险评分的方法及装置[P]. 北京：CN107341347A,2017-11-10.

[47]宋尔卫,苏士成. 一种RNA嵌合体及其用途[P]. 广东：CN107326027A,2017-11-07.

[48]马竣,韩晓亮,王建铭. 一种基因标识物的筛选方法及其应用[P]. 北京：CN107326065A,2017-11-07.

[49]崔纯莹,钟荣荣. RGDF靶向的新型钌多吡啶配合物载体的制备和评价[P]. 北京：CN107320731A,2017-11-07.

[50]管志斌. 一种治疗乳腺癌术后上肢肿胀的中药制剂及制备方法[P]. 山东：CN107320687A,2017-11-07.

[51]陈琰,郭飞飞. 一种用于高通量测序检测的肿瘤BRCA1/2基因变异文库的构建方法及其应用[P]. 福建：CN107312770A,2017-11-03.

[52]何劲松,韦伟,陈伟财,李明,刘晓岭,罗雪莹,刘宝儿,李锋. KRBA1基因突变在制备乳腺癌检测试剂盒中的应用[P]. 广东：CN107312843A,2017-11-03.

