[1]罗云萍,王威. miR#100抑制剂在降低癌症转移中的用途[P]. 北京：CN106244679A,2016-12-21.

[2]B·博森迈尔,R·别克,S·登格尔,M·耶格,C·皮斯,W·谢弗,M·施列姆尔,C·祖斯特曼. 结合HER3β#发夹和HER2域II的HER3/HER2双特异性抗体[P]. 瑞士：CN106255705A,2016-12-21.

[3]李力,赵冰冰,王琪,阳志军,苏节. 多指标联合诊断卵巢癌和/或非卵巢来源的恶性肿瘤的系统[P]. 广西：CN106248940A,2016-12-21.

[4]程联胜,沈国栋,王凤荣. 用于检测人血清中HER2含量的ELISA试剂盒、使用方法及用途[P]. 安徽：CN106248971A,2016-12-21.

[5]周平,廖晓红,吕雷,于建刚,杨佳音,陆齐. 长链非编码RNA APOC1P1-3基因及其用途[P]. 上海：CN106222169A,2016-12-14.

[6]于为常,陈磊. 一种优化的植物源重组人源化贝伐单克隆抗体的制备方法及医药应用[P]. 广东：CN106222194A,2016-12-14.

[7]曾宪卓,张翼. 感染混合物及其制备方法[P]. 广东：CN106222200A,2016-12-14.

[8]周平,廖晓红,吕雷,于建刚,杨佳音,陆齐,李录英. 长链非编码RNA-APOC1P1-3基因及其在用于制备靶点标志物中的用途[P]. 上海：CN106222242A,2016-12-14.

[9]谢书阳,李有杰,王萍玉,李新新,谢宁,阎云飞. 一种乳腺癌发生或转移的诊断试剂盒[P]. 山东：CN106222270A,2016-12-14.

[10]莱斯利·S·约翰逊,黄菱. 共价双抗体及其用途[P]. 美国：CN106220734A,2016-12-14.

[11]S.T.巴里,J.F.马夏尔,K.M.摩尔. 治疗和诊断过表达α#V#β#6的癌症的方法[P]. 英国：CN106232625A,2016-12-14.

[12]J·张,P·N·阿布拉汉姆,R·布瑞默,W·斯皮瓦克,H·周. 用于激酶调节的化合物和方法及其适应症[P]. 美国：CN106220623A,2016-12-14.

[13]曾宪卓,张翼. CAR表达载体及其构建方法[P]. 广东：CN106191117A,2016-12-07.

